NAME                     c_x      c_y     r_cl    e_rcl      r_c     e_rc      r_t     e_rt      kcp      CI   n_memb_k     n_memb  n_memb_da  memb_par     a_f   met_me   met_ml      e_m   age_me   age_ml      e_a E(B-V)_me E(B-V)_ml   e_E   dist_me  dist_ml      e_d   M_i_me   M_i_ml      e_M bin_fr_me bin_fr_ml   e_bf      M1 M2  f1 f2 f3 f4 f5 f6 f7  FC
GAIA7_13                   0        0        0        0       -1       -1       -1       -1    -1.00    0.77         -1         29         34     -0.08    1.00    0.021    0.055  0.01614    7.555    7.105   0.4652 0.962784 0.934405    0.045  13.1844  13.7549     0.65      400      700      143        0        0      nan       0  0   1  1  0  0  1  0  0   3
GAIA5_13                   0        0        0        0       -1       -1       -1       -1    -1.00    0.91         -1          0         -1       inf    1.00    0.031    0.007  0.01989    8.215    7.075   0.7694 0.181936 0.342906    0.152  14.1638  14.8947    0.685      300      200      434        0        0      nan       0  0   1  1  0  0  1  1  0   4
GAIA4_13                   0        0        0        0       -1       -1       -1       -1    -1.00    0.80         -1        108         40      0.46    1.00    0.035    0.027   0.0116     9.76   9.7825   0.1085  1.05802  1.05157    0.033  12.5412  12.5938    0.205     1800     2100      315        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA2_13                   0        0        0        0       -1       -1       -1       -1    -1.00    0.79         -1        131        150     -0.07    1.00    0.047    0.057  0.00824   9.5125   9.5125   0.0201 0.234333 0.227109    0.006  13.9153  13.9385    0.036     2100     2100       65        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA1_13                   0        0        0        0       -1       -1       -1       -1    -1.00    0.65         -1       1117       1346     -0.09    1.00    0.021    0.021  0.00448   9.5575   9.5575   0.0284 0.350552 0.351679    0.014  13.5652  13.5491    0.112     6500     6500      751        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA6_13                   0        0        0        0       -1       -1       -1       -1    -1.00    0.84         -1        134         49      0.46    1.00    0.027    0.015  0.01516     8.86     8.95   0.1335 0.272057 0.246744    0.028   13.466  13.2059    0.321      900      700      205        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA7_14                   0        0        0        0       -1       -1       -1       -1    -1.00    0.77         -1         29         34     -0.08    1.00    0.029    0.023  0.01976    7.555   7.1575    0.511 0.974696 0.944816     0.05  13.1302  13.5672    0.638      400      700      132        0        0      nan       0  0   1  1  0  0  1  0  0   3
GAIA4_14                   0        0        0        0       -1       -1       -1       -1    -1.00    0.80         -1        108         40      0.46    1.00    0.023    0.033  0.00866   9.7675   9.9549   0.0622  1.06328  1.01538    0.022  12.4382  12.3381    0.164     2300     2100      149        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA2_14                   0        0        0        0       -1       -1       -1       -1    -1.00    0.79         -1        131        150     -0.07    1.00    0.035    0.031  0.01103   9.6025     9.64   0.0746 0.229944 0.229603     0.01  13.9093  13.9067    0.057     2600     2500      116        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA1_14                   0        0        0        0       -1       -1       -1       -1    -1.00    0.65         -1       1117       1346     -0.09    1.00    0.019    0.025  0.00503     9.55     9.58   0.0304 0.363543 0.344633    0.017  13.5492   13.507    0.106     5800     5700      469        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA6_14                   0        0        0        0       -1       -1       -1       -1    -1.00    0.84         -1        134         49      0.46    1.00    0.025    0.013  0.01141    8.875   8.9725   0.1334 0.260991 0.248166    0.012  13.3526  13.0596    0.229      800      700      102        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA5_14                   0        0        0        0       -1       -1       -1       -1    -1.00    0.91         -1          0         -1       inf    1.00    0.031    0.011  0.02012    8.185   7.1425    0.779  0.18348 0.397114     0.16  14.1119  14.9318    0.703      300      300      466        0        0      nan       0  0   1  1  0  0  1  1  0   4
GAIA4_15                   0        0        0        0       -1       -1       -1       -1    -1.00    0.80         -1        108         40      0.46    1.00    0.027    0.003  0.02078   9.7825     9.43   0.2135  1.08698  1.21269    0.089  12.5958  13.3605    0.447     3300     3300      481        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA7_15                   0        0        0        0       -1       -1       -1       -1    -1.00    0.77         -1         29         34     -0.08    1.00    0.017    0.021  0.01483    7.525   7.2175   0.4974 0.948189 0.944341    0.034  13.1271  13.2726    0.462      400      400      123        0        0      nan       0  0   1  1  0  0  1  0  0   3
GAIA2_15                   0        0        0        0       -1       -1       -1       -1    -1.00    0.79         -1        131        150     -0.07    1.00    0.007    0.003  0.00548    9.685   9.7749   0.1286 0.266654 0.272697    0.012  13.9199  13.9824    0.058     2800     2400      292        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA1_15                   0        0        0        0       -1       -1       -1       -1    -1.00    0.65         -1       1117       1346     -0.09    1.00    0.019    0.017  0.00347    9.565     9.55   0.0214 0.353488 0.364767    0.011  13.4971   13.438     0.06     6500     6500      211        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA5_15                   0        0        0        0       -1       -1       -1       -1    -1.00    0.91         -1          0         -1       inf    1.00    0.031    0.003  0.02004     8.23   7.0375   0.7944 0.173975 0.355126    0.153  14.1266  14.9152    0.714      300      200      409        0        0      nan       0  0   1  1  0  0  1  1  0   4
GAIA6_15                   0        0        0        0       -1       -1       -1       -1    -1.00    0.84         -1        134         49      0.46    1.00    0.015    0.013  0.00138   8.9425    8.965   0.0362 0.243359  0.25002    0.005  13.1871   13.225    0.031      900      900       33        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA2_16                   0        0        0        0       -1       -1       -1       -1    -1.00    0.79         -1        131        150     -0.07    1.00    0.025    0.011  0.01717   9.6325     9.52   0.0839  0.23935 0.262789    0.028  13.7396  13.9346      0.2     2500     2800      375        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA4_16                   0        0        0        0       -1       -1       -1       -1    -1.00    0.80         -1        108         40      0.46    1.00    0.037    0.055  0.01735   9.7974   9.7825   0.0735  1.04117  1.01849    0.025  12.3115     12.2    0.144     1900     1700      274        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA7_16                   0        0        0        0       -1       -1       -1       -1    -1.00    0.77         -1         29         34     -0.08    1.00    0.029    0.043  0.01673   7.4125   7.4275   0.3729 0.966789 0.910385    0.052  13.3006  13.3169    0.438      500      500      116        0        0      nan       0  0   1  1  0  0  1  0  0   3
GAIA1_16                   0        0        0        0       -1       -1       -1       -1    -1.00    0.65         -1       1117       1346     -0.09    1.00    0.021    0.009  0.00372   9.5575   9.4675   0.0218 0.348449 0.397281    0.011  13.5491  13.8358    0.067     6700     5800      635        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA6_16                   0        0        0        0       -1       -1       -1       -1    -1.00    0.84         -1        134         49      0.46    1.00    0.019    0.011  0.01241   9.0175   9.0475   0.1384 0.229254 0.248971     0.02  13.0972  13.2032    0.183      700      700       90        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA5_16                   0        0        0        0       -1       -1       -1       -1    -1.00    0.91         -1          0         -1       inf    1.00    0.031    0.057  0.02001    8.215     7.12   0.7811 0.173294 0.030689    0.165  14.1413  13.4361     0.68      300      200      511        0        0      nan       0  0   1  1  0  0  1  1  0   4
GAIA7_17                   0        0        0        0       -1       -1       -1       -1    -1.00    0.77         -1         29         34     -0.08    1.00    0.021    0.015  0.01451   7.4275     7.15   0.5348  0.98969  1.01672    0.049  13.3435  13.4389    0.528      500      400      137        0        0      nan       0  0   1  1  0  0  1  0  0   3
GAIA5_17                   0        0        0        0       -1       -1       -1       -1    -1.00    0.91         -1          0         -1       inf    1.00    0.031    0.001  0.01988     8.23    7.015   0.7749  0.17047  0.35183    0.141  14.1661  14.3843    0.654      300      100      370        0        0      nan       0  0   1  1  0  0  1  1  0   4
GAIA4_17                   0        0        0        0       -1       -1       -1       -1    -1.00    0.80         -1        108         40      0.46    1.00    0.029    0.039  0.01078   9.7225   9.6925   0.1129  1.08046  1.05495    0.041  12.3855  12.4505    0.263     1800     1700      344        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA2_17                   0        0        0        0       -1       -1       -1       -1    -1.00    0.79         -1        131        150     -0.07    1.00    0.035    0.003  0.02268   9.6325     9.73   0.0973  0.22712 0.265191    0.027  13.8576  13.8783    0.125     2600     2400      353        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA1_17                   0        0        0        0       -1       -1       -1       -1    -1.00    0.65         -1       1117       1346     -0.09    1.00    0.021    0.017  0.00409   9.5575     9.55   0.0248 0.351007  0.35189    0.012  13.5622  13.5561    0.088     5500     5400      326        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA6_17                   0        0        0        0       -1       -1       -1       -1    -1.00    0.84         -1        134         49      0.46    1.00    0.033    0.013  0.01707   8.9125     9.07   0.1436 0.249706 0.249261    0.018  13.3425  13.3186    0.112      800      800      145        0        0      nan       0  0   1  1  0  0  1  0  1   4
